N,P,K,Temperature,Rainfall,pH,Humidity,Soil_Type,Agro_Zone,Irrigation,Season,Crop,District
68.0,37.0,98.0,22.2,2171.4,5.9,77.1,Red-Yellow Podzolic,Low Country Wet Zone,Rainfed,Maha,Brinjal (Eggplant),Kalutara
111.0,81.0,94.0,27.1,936.3,6.2,64.6,Sandy Loam,Dry Zone,Irrigated,Yala,Sweet Corn,Matale
120.3,74.4,100.3,25.1,1322.8,6.5,75.1,Alluvial,Intermediate Zone,Rainfed,Year-round,Okra,Kurunegala
49.0,71.0,56.0,29.9,995.0,6.6,71.4,Loam,Intermediate Zone,Irrigated,Year-round,Winged Bean (Dambala),Kandy
98.0,100.0,109.0,26.4,802.4,6.2,63.5,Loam,Dry Zone,Irrigated,Maha,Sweet Corn,Matale
69.6,39.6,50.7,29.7,631.5,6.22,65.2,Reddish-Brown Earth,Low Country Intermediate Zone,Rainfed,Yala,Soybean,Kurunegala
35.0,93.0,49.0,28.6,1437.0,6.1,66.2,Clay Loam,Intermediate Zone,Rainfed,Maha,Winged Bean (Dambala),Matale
60.0,18.6,37.0,27.9,1142.9,5.9,59.7,Sandy Loam,Low Country Dry Zone,Irrigated,Yala,Cowpea,Batticaloa
106.0,91.6,161.3,27.2,1319.9,5.9,73.2,Loam,Intermediate Zone,Irrigated,Year-round,Tibbatu (Turkey Berry),Matara
134.9,52.3,137.4,27.8,1090.1,6.8,67.8,Sandy Loam,Dry Zone,Irrigated,Year-round,Tibbatu (Turkey Berry),Puttalam
147.0,64.0,119.0,17.3,1492.0,5.4,81.2,Sandy Loam,Up Country Wet Zone,Irrigated,Yala,Leeks,Nuwara Eliya
104.0,61.0,86.0,24.4,964.1,6.6,77.1,Sandy Loam,Dry Zone,Rainfed,Maha,Kurakkan,Puttalam
101.2,101.2,113.8,26.8,2200.0,6.64,79.8,Sandy Loam,Low Country Wet Zone,Supplemental,Maha,Bitter Gourd,Colombo
147.0,144.0,105.6,29.5,1488.5,6.06,74.3,Clay Loam,Intermediate Zone,Irrigated,Year-round,Kiri Ala,Matale
109.2,74.1,112.9,21.3,1182.1,6.19,75.2,Sandy Loam,Up Country Intermediate Zone,Supplemental,Yala,Capsicum,Matale
149.0,123.0,114.4,31.8,1247.1,6.08,72.8,Sandy Loam,Intermediate Zone,Supplemental,Maha,Kiri Ala,Nuwara Eliya
159.3,62.1,159.3,15.2,1274.1,6.1,75.3,Mountain Regosol,Up Country Wet Zone,Supplemental,Maha,Cabbage,Badulla
147.0,53.0,99.0,18.4,1946.8,5.6,78.0,Red-Yellow Podzolic,Up Country Wet Zone,Irrigated,Maha,Potato,Nuwara Eliya
67.0,52.0,50.0,25.5,706.7,6.9,73.7,Loam,Intermediate Zone,Supplemental,Yala,Pumpkin,Kandy
62.0,43.0,35.0,30.1,482.0,6.6,50.6,Loam,Dry Zone,Irrigated,Yala,Sorghum,Vavuniya
65.0,34.7,51.0,31.4,774.7,5.7,65.3,Well Drained Loam,Low Country Dry Zone,Irrigated,Maha,Cowpea,Anuradhapura
83.0,97.0,72.0,25.6,915.4,6.58,78.1,Deep Loam,Intermediate Zone,Rainfed,Maha,Maize,Monaragala
75.0,65.0,77.0,25.1,846.6,7.2,82.5,Clay Loam,Intermediate Zone,Supplemental,Maha,Kurakkan,Nuwara Eliya
106.0,87.0,115.0,26.2,125.0,6.1,79.0,Sandy Loam,Low Country Wet Zone,Irrigated,Year-round,Pathola (Snake Gourd),Kalutara
73.0,50.0,177.0,28.1,1422.0,5.9,67.0,Loam,Intermediate Zone,Rainfed,Yala,Cassava,Kurunegala
106.5,74.0,81.5,22.3,1200.8,5.51,82.8,Loam,Up Country Intermediate Zone,Irrigated,Yala,Tomato,Matale
156.4,74.0,114.8,17.0,1489.6,6.45,95.0,Immature Brown Loam,Up Country Wet Zone,Supplemental,Maha,Cabbage,Badulla
140.0,74.0,94.0,22.8,1032.4,5.9,64.4,Reddish-Brown Earth,Mid Country Intermediate Zone,Irrigated,Yala,Potato,Badulla
66.0,42.0,32.0,28.2,468.3,7.1,52.1,Clay Loam,Dry Zone,Rainfed,Maha,Sorghum,Monaragala
54.0,33.0,100.0,29.0,1478.6,6.7,80.5,Sandy Loam,Intermediate Zone,Supplemental,Yala,Innala,Badulla
66.0,45.0,158.0,25.1,1855.5,6.1,87.1,Light Sandy Loam,Low Country Wet Zone,Rainfed,Maha,Innala,Colombo
57.0,67.0,88.0,30.9,601.3,7.3,64.1,Red-Brown Earth,Dry Zone,Supplemental,Yala,Pumpkin,Puttalam
73.0,90.0,93.0,27.3,418.4,7.0,55.8,Alluvial,Dry Zone,Irrigated,Yala,Big Onion,Trincomalee
86.6,52.4,66.2,28.2,1294.7,6.8,63.8,Loam,Dry Zone,Irrigated,Maha,Chilli,Puttalam
29.2,53.8,60.4,28.4,672.8,6.3,65.5,Red-Yellow Latosol,Mahaweli H Zone,Supplemental,Yala,Soybean,Polonnaruwa
100.0,56.0,49.0,26.8,789.7,5.5,69.8,Red Loam,Dry Zone,Supplemental,Yala,Kurakkan,Monaragala
89.0,103.0,162.0,19.0,1176.5,6.1,79.6,Red-Yellow Podzolic,Up Country Wet Zone,Irrigated,Year-round,Carrot,Nuwara Eliya
59.0,20.0,55.0,25.4,2166.8,6.4,78.2,Sandy Clay Loam,Low Country Wet Zone,Irrigated,Maha,Cowpea,Gampaha
123.0,39.0,118.0,31.6,865.1,7.1,70.5,Sandy Loam,Low Country Dry Zone,Irrigated,Yala,Luffa,Trincomalee
46.0,32.3,43.0,27.1,1142.2,5.8,63.7,Loam,Low Country Intermediate Zone,Rainfed,Maha,Cowpea,Monaragala
120.9,89.7,81.5,24.5,661.7,6.23,71.1,Red-Yellow Podzolic,Intermediate Zone,Rainfed,Yala,Tomato,Matale
102.0,77.0,190.0,18.3,1886.2,6.1,89.5,Reddish-Brown Latosol,Up Country Wet Zone,Supplemental,Maha,Carrot,Nuwara Eliya
129.1,73.6,161.4,27.2,1215.7,6.41,83.7,Red-Yellow Podzolic,Low Country Wet Zone,Rainfed,Maha,Cabbage,Colombo
69.0,57.0,38.0,30.4,386.1,6.6,75.3,Red-Brown Earth,Dry Zone,Supplemental,Yala,Pumpkin,Ampara
77.0,44.0,58.0,27.8,553.1,6.2,71.1,Loam,Dry Zone,Supplemental,Yala,Pumpkin,Kilinochchi
156.9,72.2,74.5,22.2,2700.0,5.75,89.1,Loam,Mid Country Wet Zone,Irrigated,Maha,Elabatu (Thai Eggplant),Kandy
102.0,89.0,112.0,26.4,110.0,7.4,63.0,Red-Brown Earth,Dry Zone,Irrigated,Maha,Pathola (Snake Gourd),Trincomalee
155.1,108.9,119.7,22.1,1755.5,5.56,87.4,Well Drained Loam,Up Country Wet Zone,Irrigated,Maha,Kohlrabi (Nokol),Badulla
90.0,60.0,137.0,24.4,1035.7,6.0,63.5,Reddish-Brown Earth,Intermediate Zone,Supplemental,Year-round,Carrot,Monaragala
120.0,63.0,150.0,17.7,1717.3,6.0,80.9,Red-Yellow Podzolic,Up Country Wet Zone,Irrigated,Maha,Potato,Nuwara Eliya
45.0,78.0,66.0,28.3,1625.0,6.2,73.7,Clay Loam,Intermediate Zone,Rainfed,Maha,Winged Bean (Dambala),Puttalam
142.0,75.0,46.0,29.7,993.5,6.14,75.3,Clay Loam,Intermediate Zone,Irrigated,Maha,Maize,Puttalam
106.8,48.4,122.0,25.9,761.7,5.99,76.3,Alluvial Loam,Dry Zone,Irrigated,Maha,Capsicum,Anuradhapura
146.0,75.0,68.0,25.6,946.3,6.39,68.0,Alluvial,Intermediate Zone,Irrigated,Maha,Maize,Kandy
124.2,64.6,93.8,23.5,1268.8,6.23,78.0,Mountain Regosol,Up Country Intermediate Zone,Rainfed,Yala,Tomato,Nuwara Eliya
169.0,66.0,148.0,20.2,1947.5,6.0,76.8,Loam,Mid Country Wet Zone,Irrigated,Maha,Leeks,Ratnapura
66.0,49.0,35.0,26.4,668.8,7.2,59.9,Clay Loam,Dry Zone,Rainfed,Maha,Sorghum,Jaffna
123.9,48.9,103.7,30.8,1700.8,5.73,77.2,Red-Yellow Podzolic,Low Country Intermediate Zone,Irrigated,Maha,Elabatu (Thai Eggplant),Monaragala
68.0,47.0,72.0,26.1,746.4,6.2,63.2,Loam,Intermediate Zone,Rainfed,Yala,Pumpkin,Kurunegala
93.0,78.0,86.0,24.3,1086.3,6.2,78.8,Red-Yellow Podzolic,Intermediate Zone,Rainfed,Yala,Radish,Puttalam
105.0,71.0,80.0,23.5,2312.1,6.8,87.4,Red-Yellow Podzolic,Up Country Wet Zone,Irrigated,Year-round,Radish,Nuwara Eliya
130.8,65.7,77.2,30.3,2661.4,5.41,77.8,Reddish-Brown Earth,Low Country Wet Zone,Rainfed,Maha,Elabatu (Thai Eggplant),Galle
94.0,49.0,132.0,26.7,1418.0,5.6,86.0,Red-Yellow Podzolic,Low Country Wet Zone,Supplemental,Maha,Cassava,Galle
58.0,34.0,46.0,26.8,1432.0,5.9,79.8,Sandy Clay Loam,Low Country Intermediate Zone,Irrigated,Yala,Cowpea,Kurunegala
101.1,72.4,128.7,23.3,1140.4,6.0,80.6,Reddish-Brown Earth,Intermediate Zone,Supplemental,Maha,Cabbage,Kurunegala
86.0,49.0,63.0,28.2,801.0,8.0,68.1,Sandy Loam,Dry Zone,Supplemental,Yala,Kurakkan,Kilinochchi
108.2,111.8,94.6,23.0,921.7,6.39,72.8,Red-Yellow Podzolic,Intermediate Zone,Rainfed,Maha,Tomato,Kandy
127.8,67.1,94.2,26.5,1475.2,5.68,75.3,Loam,Low Country Wet Zone,Irrigated,Yala,Capsicum,Matara
61.0,35.0,64.0,32.5,1330.8,6.3,74.1,Sandy Loam,Northern Dry Zone,Irrigated,Yala,Red Onion,Vavuniya
70.0,30.0,93.0,32.5,906.1,5.89,64.3,Sandy Loam,Dry Zone,Irrigated,Yala,Brinjal (Eggplant),Matale
25.0,43.5,64.2,31.7,753.5,6.34,63.4,Non-Calcic Brown Earth,Low Country Dry Zone,Supplemental,Maha,Soybean,Batticaloa
101.0,42.0,143.0,28.6,2014.7,6.5,81.7,Loam,Mid Country Wet Zone,Supplemental,Year-round,Luffa,Kandy
104.0,47.0,63.0,27.8,1005.7,7.0,75.3,Sandy Loam,Northern Dry Zone,Rainfed,Maha,Red Onion,Vavuniya
143.4,91.3,92.3,20.4,1006.8,5.59,70.8,Red-Yellow Podzolic,Up Country Intermediate Zone,Rainfed,Year-round,Kohlrabi (Nokol),Badulla
104.0,41.0,87.0,23.8,959.1,6.4,85.3,Sandy Loam,Intermediate Zone,Rainfed,Maha,Kurakkan,Kurunegala
14.0,37.0,55.0,21.8,925.8,6.5,71.5,Reddish-Brown Earth,Intermediate Zone,Rainfed,Maha,Pigeon Pea,Puttalam
32.0,83.0,38.0,27.4,996.0,6.3,66.4,Clay Soil,Dry Zone,Supplemental,Maha,Winged Bean (Dambala),Kurunegala
82.0,40.0,30.0,26.7,607.2,6.7,59.5,Sandy Loam,Intermediate Zone,Irrigated,Yala,Sunflower,Kurunegala
46.0,30.5,49.0,26.9,817.0,6.21,65.9,Alluvial,Low Country Intermediate Zone,Rainfed,Yala,Soybean,Matale
42.9,42.4,51.0,26.9,677.2,6.14,71.5,Low-Humic Gley,Intermediate Zone,Irrigated,Maha,Soybean,Badulla
148.2,71.4,75.9,25.2,1198.7,5.68,75.0,Loam,Mid Country Intermediate Zone,Irrigated,Yala,Elabatu (Thai Eggplant),Kandy
43.2,51.6,63.5,25.0,753.4,6.32,65.6,Non-Calcic Brown Earth,Dry Zone,Irrigated,Maha,Soybean,Monaragala
75.0,41.0,121.0,26.7,1332.3,6.42,74.1,Alluvial,Intermediate Zone,Irrigated,Yala,Brinjal (Eggplant),Badulla
87.0,95.0,50.0,28.7,914.9,6.47,71.0,Clay Loam,Intermediate Zone,Rainfed,Maha,Maize,Kandy
143.0,63.0,106.0,18.4,1875.8,5.8,84.1,Red-Yellow Podzolic,Up Country Wet Zone,Irrigated,Maha,Potato,Nuwara Eliya
94.0,63.0,69.0,25.7,934.0,8.0,67.9,Fertile Loam,Dry Zone,Rainfed,Maha,Kurakkan,Trincomalee
92.0,52.0,177.0,30.1,856.0,5.6,64.0,Alluvial Loam,Dry Zone,Supplemental,Maha,Cassava,Kilinochchi
51.0,58.0,89.0,31.2,828.4,6.1,69.2,Clay Loam,Dry Zone,Rainfed,Yala,Pumpkin,Monaragala
135.5,35.0,115.9,21.5,1052.3,5.57,83.4,Silt Loam,Up Country Intermediate Zone,Rainfed,Yala,Cauliflower (Gowa),Badulla
108.0,49.0,84.0,22.4,874.5,7.6,85.1,Red Loam,Dry Zone,Rainfed,Maha,Kurakkan,Polonnaruwa
195.0,76.0,108.0,19.9,2190.1,5.2,89.7,Sandy Loam,Up Country Wet Zone,Irrigated,Year-round,Leeks,Badulla
99.0,54.0,146.0,31.4,1334.6,5.7,80.4,Red-Yellow Podzolic,Intermediate Zone,Rainfed,Yala,Innala,Badulla
73.0,37.0,116.0,26.9,1793.7,6.1,84.5,Reddish-Brown Earth,Intermediate Zone,Rainfed,Maha,Innala,Nuwara Eliya
181.4,90.5,139.3,25.0,987.0,5.91,74.8,Red-Yellow Podzolic,Mid Country Wet Zone,Rainfed,Yala,Kohlrabi (Nokol),Kandy
168.6,66.4,123.2,20.7,1055.0,6.66,80.3,Clay Loam,Up Country Wet Zone,Irrigated,Yala,Cauliflower (Gowa),Badulla
135.8,59.4,80.9,31.6,1552.0,5.56,69.9,Reddish-Brown Earth,Low Country Intermediate Zone,Irrigated,Maha,Elabatu (Thai Eggplant),Matara
86.6,81.1,108.7,22.0,1064.9,6.12,74.6,Silt Loam,Up Country Intermediate Zone,Rainfed,Yala,Cauliflower (Gowa),Badulla
51.0,73.0,45.0,26.7,1353.0,6.4,73.8,Sandy Soil,Intermediate Zone,Irrigated,Maha,Winged Bean (Dambala),Matale
104.0,67.0,159.0,28.0,1177.5,7.2,58.0,Sandy Loam,Low Country Dry Zone,Irrigated,Maha,Luffa,Anuradhapura
60.0,49.0,89.0,30.3,1220.9,6.4,78.9,Clay Loam,Intermediate Zone,Supplemental,Maha,Pumpkin,Badulla
135.0,45.0,107.0,26.9,1960.8,6.0,82.3,Sandy Loam,Low Country Wet Zone,Supplemental,Maha,Luffa,Kalutara
99.5,86.0,113.6,26.5,2193.1,6.0,86.3,Sandy Loam,Mid Country Wet Zone,Irrigated,Year-round,Bitter Gourd,Kandy
125.1,96.2,99.5,29.7,1271.0,6.42,58.7,Clay Loam,Low Country Dry Zone,Irrigated,Year-round,Bitter Gourd,Ampara
176.0,63.0,144.0,22.0,1156.5,5.7,68.8,Sandy Loam,Mid Country Intermediate Zone,Irrigated,Year-round,Leeks,Kurunegala
154.0,42.0,88.0,19.9,1251.9,6.2,75.4,Reddish-Brown Earth,Up Country Intermediate Zone,Irrigated,Yala,Potato,Badulla
99.0,72.0,62.0,24.6,1819.2,6.2,73.9,Sandy Loam,Intermediate Zone,Rainfed,Maha,Red Onion,Kandy
130.0,82.0,125.0,31.9,117.0,7.1,60.0,Sandy Loam,Dry Zone,Irrigated,Yala,Pathola (Snake Gourd),Jaffna
114.7,54.9,52.7,32.3,1098.2,5.7,61.8,Red-Yellow Podzolic,Dry Zone,Rainfed,Maha,Chilli,Anuradhapura
144.0,69.0,74.5,29.5,1634.8,5.94,82.7,Reddish-Brown Earth,Low Country Wet Zone,Irrigated,Yala,Elabatu (Thai Eggplant),Ratnapura
97.0,46.0,62.0,24.7,717.3,6.0,69.0,Red Loam,Dry Zone,Irrigated,Yala,Kurakkan,Hambantota
70.0,33.0,110.0,24.1,2420.4,6.3,82.1,Red-Yellow Podzolic,Low Country Wet Zone,Rainfed,Maha,Innala,Ratnapura
160.7,70.0,110.1,25.3,1455.8,5.54,81.1,Well Drained Loam,Low Country Wet Zone,Rainfed,Maha,Kohlrabi (Nokol),Galle
71.0,81.0,30.0,27.0,919.0,6.39,66.4,Alluvial,Intermediate Zone,Irrigated,Yala,Maize,Badulla
85.0,63.0,63.0,28.3,850.5,6.5,74.2,Sandy Loam,Intermediate Zone,Irrigated,Yala,Pumpkin,Nuwara Eliya
160.0,82.0,121.0,19.6,1652.5,5.7,82.4,Red-Yellow Podzolic,Up Country Wet Zone,Rainfed,Yala,Potato,Badulla
215.8,88.2,111.2,28.0,1320.1,5.71,73.3,Organic-Rich Loam,Low Country Wet Zone,Irrigated,Yala,Kohlrabi (Nokol),Gampaha
73.0,46.0,29.0,34.0,454.6,7.4,66.4,Reddish-Brown Earth,Dry Zone,Rainfed,Yala,Sunflower,Kurunegala
117.0,73.0,123.0,28.5,2326.1,6.9,77.4,Sandy Loam,Mid Country Wet Zone,Supplemental,Yala,Luffa,Ratnapura
89.0,79.0,60.0,32.6,1205.3,6.5,61.1,Clay Loam,Dry Zone,Irrigated,Maha,Red Onion,Puttalam
96.0,54.0,76.0,25.3,696.0,7.7,73.8,Red Loam,Dry Zone,Irrigated,Yala,Kurakkan,Jaffna
33.0,41.0,36.0,26.3,565.6,6.3,65.4,Non-Calcic Brown Earth,Intermediate Zone,Supplemental,Maha,Mung Bean,Matale
94.0,45.0,31.0,31.8,497.7,6.7,65.1,Regosol,Dry Zone,Irrigated,Yala,Sunflower,Mullaitivu
25.0,34.0,58.0,31.8,568.6,6.5,53.5,Loamy Sand,Low Country Dry Zone,Supplemental,Yala,Mung Bean,Mannar
141.0,34.0,94.0,27.4,803.8,6.9,68.3,Loam,Dry Zone,Irrigated,Maha,Sweet Corn,Matale
137.6,79.2,141.7,28.8,1448.5,6.12,68.8,Reddish-Brown Earth,Intermediate Zone,Rainfed,Maha,Cabbage,Kandy
116.0,74.5,128.4,28.6,767.6,6.19,63.8,Clay Loam,Low Country Dry Zone,Irrigated,Yala,Cauliflower (Gowa),Hambantota
89.0,69.0,83.0,22.8,1101.4,7.0,80.0,Red Loam,Up Country Intermediate Zone,Irrigated,Yala,Red Onion,Badulla
82.3,55.9,165.3,22.6,2019.7,7.1,88.2,Loam,Up Country Wet Zone,Irrigated,Maha,Beetroot,Badulla
51.0,37.2,36.0,27.2,2130.2,6.7,73.9,Well Drained Loam,Low Country Wet Zone,Irrigated,Yala,Cowpea,Gampaha
63.0,45.0,34.0,33.5,512.0,6.5,52.3,Sandy Loam,Dry Zone,Irrigated,Yala,Sunflower,Kurunegala
114.3,77.2,121.7,28.9,863.6,6.6,73.2,Loam,Low Country Intermediate Zone,Irrigated,Yala,Bitter Gourd,Matale
105.9,52.4,91.1,29.6,849.0,6.29,70.7,Reddish-Brown Earth,Intermediate Zone,Supplemental,Yala,Capsicum,Badulla
70.3,44.6,180.3,21.1,2045.7,6.8,81.1,Sandy Loam,Up Country Wet Zone,Irrigated,Yala,Beetroot,Nuwara Eliya
209.0,103.0,141.0,16.2,2322.7,5.3,88.7,Loam,Up Country Wet Zone,Irrigated,Maha,Leeks,Nuwara Eliya
135.4,44.8,132.7,17.8,1622.3,6.6,82.5,Clay Loam,Up Country Wet Zone,Irrigated,Yala,Beetroot,Badulla
36.0,45.0,51.0,30.0,764.8,6.2,66.6,Sandy Loam,Intermediate Zone,Supplemental,Maha,Mung Bean,Nuwara Eliya
77.0,39.7,119.0,23.1,1201.1,6.8,75.1,Sandy Loam,Mid Country Intermediate Zone,Irrigated,Maha,Beetroot,Kandy
156.0,70.0,118.0,28.3,1040.5,7.1,85.0,Sandy Loam,Low Country Intermediate Zone,Supplemental,Maha,Luffa,Monaragala
56.0,31.4,42.0,29.6,1597.0,6.1,75.5,Well Drained Loam,Low Country Wet Zone,Irrigated,Yala,Cowpea,Galle
84.0,69.0,76.0,27.4,789.9,6.6,79.0,Loam,Intermediate Zone,Irrigated,Maha,Pumpkin,Kandy
73.0,41.0,118.0,29.0,1258.8,5.88,70.2,Loam,Dry Zone,Irrigated,Maha,Brinjal (Eggplant),Puttalam
138.0,35.0,126.0,20.7,1798.8,5.9,76.9,Red-Yellow Podzolic,Up Country Wet Zone,Irrigated,Yala,Potato,Nuwara Eliya
126.0,50.0,70.0,27.1,716.8,6.3,65.2,Regosol,Dry Zone,Irrigated,Yala,Potato,Puttalam
85.0,45.0,74.0,23.4,1002.6,6.4,70.8,Alluvial,Intermediate Zone,Supplemental,Yala,Radish,Monaragala
146.0,90.0,63.0,25.9,1187.8,6.56,75.5,Clay Loam,Intermediate Zone,Irrigated,Maha,Maize,Badulla
87.0,36.0,170.0,30.3,1881.6,6.8,75.6,Loam,Low Country Wet Zone,Supplemental,Yala,Innala,Colombo
165.0,66.0,124.0,16.9,1728.7,5.5,74.8,Loam,Up Country Wet Zone,Irrigated,Yala,Leeks,Badulla
117.5,47.7,106.4,27.3,833.3,6.4,74.7,Red-Yellow Podzolic,Intermediate Zone,Supplemental,Yala,Okra,Nuwara Eliya
31.0,42.0,33.0,25.3,717.4,6.9,69.1,Clay Loam,Intermediate Zone,Rainfed,Maha,Mung Bean,Puttalam
99.3,96.8,112.0,28.0,1536.0,6.92,78.4,Sandy Loam,Low Country Wet Zone,Irrigated,Maha,Bitter Gourd,Colombo
52.6,53.0,53.1,28.3,725.6,6.1,81.0,Reddish-Brown Earth,Dry Zone,Irrigated,Maha,Soybean,Trincomalee
70.0,48.5,98.0,27.4,1457.0,6.05,78.4,Alluvial Loam,Low Country Wet Zone,Rainfed,Maha,Capsicum,Matara
66.0,42.0,139.0,27.9,1270.8,6.0,70.5,Sandy Loam,Dry Zone,Irrigated,Maha,Innala,Vavuniya
103.0,41.0,75.0,23.7,910.3,7.1,78.2,Sandy Loam,Dry Zone,Rainfed,Maha,Kurakkan,Batticaloa
64.0,41.0,107.0,25.7,708.2,6.0,65.3,Sandy Loam,Dry Zone,Rainfed,Maha,Sweet Corn,Polonnaruwa
135.1,57.7,130.1,32.2,579.7,6.22,72.3,Reddish-Brown Earth,Dry Zone,Irrigated,Yala,Cabbage,Hambantota
126.0,68.0,73.0,23.1,1214.2,6.1,73.3,Reddish-Brown Earth,Mid Country Intermediate Zone,Irrigated,Maha,Potato,Kurunegala
86.0,36.0,134.0,27.3,1431.9,5.6,81.2,Red-Yellow Podzolic,Intermediate Zone,Rainfed,Yala,Innala,Kandy
144.0,59.0,146.0,27.5,679.7,6.1,61.0,Regosol,Dry Zone,Irrigated,Yala,Potato,Polonnaruwa
155.0,72.0,42.0,26.5,1307.9,6.53,84.5,Clay Loam,Low Country Wet Zone,Rainfed,Yala,Maize,Gampaha
65.0,61.0,52.0,27.0,1298.1,6.3,84.3,Loam,Intermediate Zone,Rainfed,Maha,Pumpkin,Nuwara Eliya
55.0,55.0,29.0,27.6,553.3,7.2,60.4,Reddish-Brown Earth,Dry Zone,Irrigated,Maha,Sorghum,Puttalam
53.0,30.9,42.0,31.9,1160.3,5.9,66.4,Loam,Low Country Dry Zone,Irrigated,Yala,Cowpea,Vavuniya
99.4,51.5,127.6,28.4,1016.5,6.9,72.7,Clay Loam,Intermediate Zone,Irrigated,Year-round,Tibbatu (Turkey Berry),Kurunegala
83.4,86.6,98.5,31.3,1490.4,6.17,74.5,Loam,Low Country Intermediate Zone,Irrigated,Maha,Bitter Gourd,Matara
105.5,30.3,175.8,24.2,1756.2,6.3,88.4,Sandy Loam,Mid Country Wet Zone,Supplemental,Yala,Beetroot,Kandy
153.0,41.0,179.0,27.1,1980.2,6.4,87.0,Sandy Loam,Low Country Wet Zone,Rainfed,Yala,Luffa,Ratnapura
92.8,67.9,94.9,27.2,1052.8,6.36,65.8,Red-Yellow Podzolic,Intermediate Zone,Irrigated,Maha,Capsicum,Monaragala
107.0,57.0,97.0,20.9,1539.5,6.1,76.7,Clay Loam,Up Country Intermediate Zone,Irrigated,Maha,Red Onion,Nuwara Eliya
167.0,135.0,113.1,27.5,1799.1,5.84,76.5,Alluvial,Low Country Wet Zone,Supplemental,Yala,Kiri Ala,Kalutara
127.2,61.8,121.8,17.1,1281.1,6.34,78.3,Clay Loam,Up Country Wet Zone,Rainfed,Maha,Cauliflower (Gowa),Badulla
172.6,121.3,151.6,21.6,971.3,5.75,76.1,Organic-Rich Loam,Up Country Intermediate Zone,Rainfed,Yala,Kohlrabi (Nokol),Matale
121.3,96.7,107.2,26.1,1370.4,6.2,70.2,Clay Loam,Intermediate Zone,Supplemental,Year-round,Tibbatu (Turkey Berry),Badulla
134.0,61.0,93.5,30.6,716.8,5.44,72.0,Reddish-Brown Earth,Low Country Dry Zone,Irrigated,Yala,Elabatu (Thai Eggplant),Polonnaruwa
82.0,57.0,76.0,29.3,1082.7,6.2,68.0,Reddish-Brown Latosol,Dry Zone,Supplemental,Maha,Pumpkin,Monaragala
74.0,52.0,63.0,26.0,821.6,6.9,81.7,Clay Loam,Intermediate Zone,Supplemental,Yala,Pumpkin,Nuwara Eliya
101.1,56.1,137.3,27.6,2046.1,5.96,80.7,Silt Loam,Low Country Wet Zone,Irrigated,Yala,Cauliflower (Gowa),Matara
79.0,47.0,78.0,27.4,1024.1,6.66,74.3,Deep Loam,Intermediate Zone,Irrigated,Yala,Maize,Matale
82.0,28.0,99.0,24.3,2600.0,5.87,81.6,Red-Yellow Podzolic,Low Country Wet Zone,Rainfed,Maha,Brinjal (Eggplant),Matara
76.0,71.0,71.0,29.3,796.5,7.2,68.3,Loam,Intermediate Zone,Irrigated,Yala,Pumpkin,Badulla
73.0,59.0,74.0,28.5,459.6,6.1,62.7,Red-Brown Earth,Dry Zone,Supplemental,Yala,Pumpkin,Jaffna
86.0,35.0,32.0,27.3,737.0,6.9,67.8,Alluvial,Intermediate Zone,Irrigated,Maha,Sunflower,Badulla
50.0,43.0,68.0,29.3,579.3,7.2,66.7,Reddish-Brown Latosol,Dry Zone,Rainfed,Yala,Pumpkin,Polonnaruwa
131.1,64.5,69.8,30.5,828.3,6.7,57.5,Reddish-Brown Earth,Dry Zone,Irrigated,Year-round,Okra,Vavuniya
171.0,127.0,118.0,31.4,1526.2,5.81,57.7,Red-Yellow Podzolic,Intermediate Zone,Rainfed,Maha,Kiri Ala,Kandy
118.1,72.8,89.7,26.8,1419.4,5.73,83.2,Loam,Low Country Wet Zone,Irrigated,Year-round,Capsicum,Gampaha
39.0,87.0,53.0,26.9,1433.0,6.6,72.4,Clay Soil,Intermediate Zone,Irrigated,Yala,Winged Bean (Dambala),Matale
95.0,84.0,78.0,28.3,65.0,5.9,52.0,Loam,Dry Zone,Irrigated,Yala,Pathola (Snake Gourd),Trincomalee
121.9,64.5,81.9,22.7,2509.4,6.03,82.3,Reddish-Brown Earth,Mid Country Wet Zone,Rainfed,Maha,Elabatu (Thai Eggplant),Kegalle
73.0,53.0,98.0,24.9,1403.1,7.0,81.4,Loamy Sand,Intermediate Zone,Rainfed,Maha,Red Onion,Matale
117.7,35.0,80.2,28.9,919.1,7.5,67.7,Reddish-Brown Earth,Intermediate Zone,Supplemental,Yala,Okra,Kandy
88.0,38.0,68.0,30.2,1530.3,5.7,67.6,Reddish-Brown Earth,Intermediate Zone,Rainfed,Maha,Brinjal (Eggplant),Badulla
157.0,132.0,111.3,29.6,1641.5,5.81,80.1,Sandy Loam,Intermediate Zone,Supplemental,Year-round,Kiri Ala,Kurunegala
67.0,41.0,30.0,28.3,585.1,6.6,66.5,Loam,Intermediate Zone,Rainfed,Maha,Sorghum,Monaragala
61.0,50.0,79.0,22.4,935.2,6.2,74.1,Sandy Loam,Intermediate Zone,Rainfed,Maha,Kurakkan,Puttalam
130.4,68.5,98.2,19.3,595.1,6.44,82.0,Immature Brown Loam,Up Country Wet Zone,Supplemental,Yala,Cabbage,Nuwara Eliya
35.0,106.0,49.0,28.0,1847.0,6.5,68.9,Sandy Loam,Intermediate Zone,Irrigated,Maha,Winged Bean (Dambala),Matale
130.4,54.9,38.6,31.4,1187.4,6.3,66.9,Clay Loam,Dry Zone,Irrigated,Maha,Chilli,Hambantota
